<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;share_price;<VOL>
PLZL;D;20200409;0;11128.5000000;11324.0000000;10937.0000000;11260.5000000;215391
PLZL;D;20200410;0;11299.5000000;11500.0000000;11101.5000000;11401.0000000;110755
PLZL;D;20200413;0;11405.0000000;11645.0000000;11292.0000000;11525.0000000;123862
PLZL;D;20200414;0;11624.0000000;12358.0000000;11554.0000000;12150.0000000;377199
PLZL;D;20200415;0;11998.5000000;12164.5000000;11375.5000000;11472.5000000;296043
PLZL;D;20200416;0;11620.0000000;12139.0000000;11602.0000000;11940.0000000;273306
PLZL;D;20200417;0;11758.0000000;11888.0000000;11570.5000000;11685.0000000;233506
PLZL;D;20200420;0;11630.0000000;11675.0000000;11203.5000000;11635.0000000;259686
PLZL;D;20200421;0;11668.0000000;12000.0000000;11342.0000000;11794.5000000;308872
PLZL;D;20200422;0;11828.5000000;12500.0000000;11812.0000000;12209.0000000;353030
PLZL;D;20200423;0;12293.0000000;12488.5000000;11910.5000000;11951.0000000;408281
PLZL;D;20200424;0;12032.0000000;12245.0000000;11922.0000000;12095.0000000;164120
PLZL;D;20200427;0;12105.0000000;12347.5000000;12055.0000000;12081.0000000;188804
PLZL;D;20200428;0;12085.0000000;12172.0000000;11811.5000000;11916.5000000;253984
PLZL;D;20200429;0;11998.0000000;11998.0000000;11750.0000000;11935.5000000;197959
PLZL;D;20200430;0;12076.5000000;12110.0000000;11925.5000000;12110.0000000;151083
PLZL;D;20200504;0;12098.0000000;12350.0000000;11835.5000000;12023.0000000;190356
PLZL;D;20200505;0;11958.0000000;12040.0000000;11805.0000000;11832.0000000;111463
PLZL;D;20200506;0;11855.0000000;12043.0000000;11830.0000000;11920.5000000;126303
PLZL;D;20200507;0;11912.0000000;12032.0000000;11333.0000000;11839.0000000;142188
PLZL;D;20200508;0;11971.5000000;11985.0000000;11857.0000000;11973.0000000;76649
PLZL;D;20200512;0;11925.0000000;12047.0000000;11682.5000000;11979.0000000;164830
